,End Date,EndStation Id,EndStation Name,Start Date,StartStation Id,StartStation Name,Slat,Slon,Elat,Elon
51,01/01/2021 00:22,459,"Gunmakers Lane, Old Ford",21-01-01 00:10,460,"Burdett Road, Mile End",51.516196,-0.029138,51.535179,-0.03338
52,01/01/2021 00:34,105,"Westbourne Grove, Bayswater",21-01-01 00:10,329,"Prince Albert Road, The Regent's Park",51.53589283,-0.160854428,51.51552971,-0.190240716
53,01/01/2021 00:22,254,"Chadwell Street, Angel",21-01-01 00:10,659,"Blackfriars Station, St. Paul's",51.511934,-0.10307894,51.53051587,-0.106408455
54,01/01/2021 00:22,254,"Chadwell Street, Angel",21-01-01 00:10,659,"Blackfriars Station, St. Paul's",51.511934,-0.10307894,51.53051587,-0.106408455
59,01/01/2021 00:20,270,"Kennington Lane Rail Bridge, Vauxhall",21-01-01 00:11,614,"Bradmead, Battersea Park",51.54119,-0.058826101,51.4863434,-0.122492418
57,01/01/2021 00:16,203,"West Smithfield Rotunda, Farringdon",21-01-01 00:11,703,"St. Bride Street, Holborn",51.51505991,-0.10534448,51.51821864,-0.100791005
58,01/01/2021 00:34,105,"Westbourne Grove, Bayswater",21-01-01 00:11,329,"Prince Albert Road, The Regent's Park",51.53589283,-0.160854428,51.51552971,-0.190240716
55,01/01/2021 00:30,671,"Parsons Green Station, Parsons Green",21-01-01 00:11,596,"Parson's Green , Parson's Green",51.472817,-0.199783,51.475089,-0.201968
56,01/01/2021 00:39,282,"Royal London Hospital, Whitechapel",21-01-01 00:11,818,"Westminster Pier, Westminster",51.501513,-0.12382322,51.518675,-0.06111
70,01/01/2021 00:24,732,"Duke Street Hill, London Bridge",21-01-01 00:12,273,"Belvedere Road 1, South Bank",51.50613324,-0.114686385,51.50630441,-0.087262995
69,01/01/2021 00:34,449,"Shadwell Station, Shadwell",21-01-01 00:12,309,"Embankment (Savoy), Strand",51.50963123,-0.119047563,51.511088,-0.057159
68,01/01/2021 00:34,449,"Shadwell Station, Shadwell",21-01-01 00:12,309,"Embankment (Savoy), Strand",51.50963123,-0.119047563,51.511088,-0.057159
66,01/01/2021 01:27,685,"Osiers Road, Wandsworth",21-01-01 00:12,821,"Battersea Power Station, Battersea Park",51.48350749,-0.147714557,51.46067005,-0.198735357
65,01/01/2021 00:23,392,"Imperial College, Knightsbridge",21-01-01 00:12,158,"Trebovir Road, Earl's Court",51.49085368,-0.196170309,51.49942855,-0.179702476
67,01/01/2021 00:20,818,"Westminster Pier, Westminster",21-01-01 00:12,229,"Whitehall Place, Strand",51.50654321,-0.123179697,51.501513,-0.12382322
63,01/01/2021 01:01,83,"Panton Street, West End",21-01-01 00:12,243,"Gloucester Street, Pimlico",51.49096258,-0.139625122,51.50963938,-0.131510949
62,01/01/2021 05:45,238,"Frampton Street, Paddington",21-01-01 00:12,243,"Gloucester Street, Pimlico",51.49096258,-0.139625122,51.5233534,-0.175116099
61,01/01/2021 01:02,83,"Panton Street, West End",21-01-01 00:12,243,"Gloucester Street, Pimlico",51.49096258,-0.139625122,51.50963938,-0.131510949
60,01/01/2021 00:26,534,"Goldsmith's Row, Haggerston",21-01-01 00:12,95,"Aldersgate Street, Barbican",51.5208417,-0.097340162,51.531864,-0.066035
64,01/01/2021 00:23,392,"Imperial College, Knightsbridge",21-01-01 00:12,158,"Trebovir Road, Earl's Court",51.49085368,-0.196170309,51.49942855,-0.179702476
79,01/01/2021 00:20,372,"Sardinia Street, Holborn",21-01-01 00:13,23,"Red Lion Square, Holborn",51.51943538,-0.119123345,51.515208,-0.117863
83,01/01/2021 00:26,130,"Tower Gardens , Tower",21-01-01 00:13,223,"Rodney Road , Walworth",51.49148474,-0.090220911,51.50950627,-0.075459482
82,01/01/2021 00:17,94,"Bricklayers Arms, Borough",21-01-01 00:13,94,"Bricklayers Arms, Borough",51.49506109,-0.085814489,51.49506109,-0.085814489
81,01/01/2021 00:38,835,"Farringdon Street, Holborn",21-01-01 00:13,138,"Green Street, Mayfair",51.51227622,-0.157436972,51.516785,-0.10494775
80,01/01/2021 00:20,372,"Sardinia Street, Holborn",21-01-01 00:13,23,"Red Lion Square, Holborn",51.51943538,-0.119123345,51.515208,-0.117863
78,01/01/2021 00:19,372,"Sardinia Street, Holborn",21-01-01 00:13,23,"Red Lion Square, Holborn",51.51943538,-0.119123345,51.515208,-0.117863
77,01/01/2021 00:20,372,"Sardinia Street, Holborn",21-01-01 00:13,23,"Red Lion Square, Holborn",51.51943538,-0.119123345,51.515208,-0.117863
76,01/01/2021 00:24,164,"Cleveland Gardens, Bayswater",21-01-01 00:13,248,"Triangle Car Park, Hyde Park",51.50645179,-0.170279555,51.515607,-0.183118788
75,01/01/2021 00:21,78,"Sadlers Sports Centre, Finsbury",21-01-01 00:13,579,"Queen Street 2, Bank",51.511246,-0.093051,51.52486887,-0.099489485
74,01/01/2021 00:21,78,"Sadlers Sports Centre, Finsbury",21-01-01 00:13,579,"Queen Street 2, Bank",51.511246,-0.093051,51.52486887,-0.099489485
73,01/01/2021 00:33,428,"Exhibition Road, Knightsbridge",21-01-01 00:13,113,"Gloucester Road (Central), South Kensington",51.49646288,-0.183289032,51.499917,-0.174554
72,01/01/2021 00:33,428,"Exhibition Road, Knightsbridge",21-01-01 00:13,113,"Gloucester Road (Central), South Kensington",51.49646288,-0.183289032,51.499917,-0.174554
71,01/01/2021 01:27,685,"Osiers Road, Wandsworth",21-01-01 00:13,821,"Battersea Power Station, Battersea Park",51.48350749,-0.147714557,51.46067005,-0.198735357
92,01/01/2021 00:59,815,"Lambeth Palace Road, Waterloo",21-01-01 00:14,108,"Abbey Orchard Street, Westminster",51.49812559,-0.132102166,51.5000892,-0.116628701
